CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100),Email,Phone
0001,Male,19,15,39,customer1@mall.com,+1-555-1000
0002,Male,21,15,81,customer2@mall.com,+1-555-1001
0003,Female,20,16,6,customer3@mall.com,+1-555-1002
0004,Female,23,16,77,customer4@mall.com,+1-555-1003
0005,Female,31,17,40,customer5@mall.com,+1-555-1004
0006,Female,22,17,76,customer6@mall.com,+1-555-1005
0007,Female,35,18,6,customer7@mall.com,+1-555-1006
0008,Female,23,18,94,customer8@mall.com,+1-555-1007
0009,Male,64,19,3,customer9@mall.com,+1-555-1008
0010,Female,30,19,72,customer10@mall.com,+1-555-1009
0011,Male,67,19,14,customer11@mall.com,+1-555-1010
0012,Female,35,19,99,customer12@mall.com,+1-555-1011
0013,Female,58,20,15,customer13@mall.com,+1-555-1012
0014,Female,24,20,77,customer14@mall.com,+1-555-1013
0015,Male,37,20,13,customer15@mall.com,+1-555-1014
0016,Male,22,20,79,customer16@mall.com,+1-555-1015
0017,Female,35,21,35,customer17@mall.com,+1-555-1016
0018,Male,20,21,66,customer18@mall.com,+1-555-1017
0019,Male,52,23,29,customer19@mall.com,+1-555-1018
0020,Female,35,23,98,customer20@mall.com,+1-555-1019
0021,Male,35,24,35,customer21@mall.com,+1-555-1020
0022,Male,25,24,73,customer22@mall.com,+1-555-1021
0023,Female,46,25,5,customer23@mall.com,+1-555-1022
0024,Male,31,25,73,customer24@mall.com,+1-555-1023
0025,Female,54,28,14,customer25@mall.com,+1-555-1024
0026,Male,29,28,82,customer26@mall.com,+1-555-1025
0027,Female,45,28,32,customer27@mall.com,+1-555-1026
0028,Male,35,28,61,customer28@mall.com,+1-555-1027
0029,Female,40,29,31,customer29@mall.com,+1-555-1028
0030,Female,23,29,87,customer30@mall.com,+1-555-1029
0031,Male,60,30,4,customer31@mall.com,+1-555-1030
0032,Female,21,30,73,customer32@mall.com,+1-555-1031
0033,Male,53,33,4,customer33@mall.com,+1-555-1032
0034,Male,18,33,92,customer34@mall.com,+1-555-1033
0035,Female,49,33,14,customer35@mall.com,+1-555-1034
0036,Female,21,33,81,customer36@mall.com,+1-555-1035
0037,Female,42,34,17,customer37@mall.com,+1-555-1036
0038,Female,30,34,73,customer38@mall.com,+1-555-1037
0039,Female,36,37,26,customer39@mall.com,+1-555-1038
0040,Female,20,37,75,customer40@mall.com,+1-555-1039
0041,Female,65,38,35,customer41@mall.com,+1-555-1040
0042,Male,24,38,92,customer42@mall.com,+1-555-1041
0043,Male,48,39,36,customer43@mall.com,+1-555-1042
